Discount Rate,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%,2.5%,3%,3%,5%
,HFC32,HFC32,HFC32,HFC32,HFC125,HFC125,HFC125,HFC125,HFC134a,HFC134a,HFC134a,HFC134a,HFC143a,HFC143a,HFC143a,HFC143a,HFC152a,HFC152a,HFC152a,HFC152a,HFC227ea,HFC227ea,HFC227ea,HFC227ea,HFC236fa,HFC236fa,HFC236fa,HFC236fa,HFC245fa,HFC245fa,HFC245fa,HFC245fa,HFC43-10mee,HFC43-10mee,HFC43-10mee,HFC43-10mee,HFC23,HFC23,HFC23,HFC23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC43-10mee,3%_HFC43-10mee,3% 95th Pct._HFC43-10mee,5%_HFC43-10mee,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23
2020,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
2021,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"$11,721,757","$9,092,308","$24,112,862","$4,420,808","$493,548,456","$364,359,003","$958,326,798","$145,807,369","$187,006,368","$142,248,634","$374,592,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,"$227,793,810","$177,185,324","$470,519,883","$86,795,884","$1,916,118,555","$1,418,354,078","$3,739,031,828","$572,236,805","$715,991,183","$546,067,754","$1,440,820,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,"$456,702,324","$356,164,640","$946,977,799","$175,687,309","$3,407,228,408","$2,528,529,728","$6,680,038,336","$1,027,988,675","$1,273,649,341","$973,804,914","$2,574,167,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,"$458,024,816","$358,073,412","$953,161,300","$177,777,588","$3,670,783,514","$2,730,714,626","$7,228,928,257","$1,118,232,947","$1,339,090,896","$1,026,258,238","$2,717,541,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,"$459,625,526","$360,276,650","$959,260,001","$180,132,623","$3,949,276,314","$2,945,423,422","$7,798,446,957","$1,215,460,251","$1,409,132,050","$1,082,618,761","$2,869,446,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,"$460,509,061","$361,868,553","$963,718,935","$182,117,015","$4,236,851,392","$3,167,603,302","$8,387,850,519","$1,316,629,287","$1,480,944,813","$1,140,460,321","$3,025,395,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,"$460,675,421","$362,849,124","$966,538,103","$183,730,762","$4,533,508,749","$3,397,254,265","$8,997,138,943","$1,421,740,055","$1,554,529,188","$1,199,782,917","$3,185,388,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,"$460,124,607","$363,218,360","$967,717,504","$184,973,866","$4,839,248,385","$3,634,376,312","$9,626,312,228","$1,530,792,555","$1,629,885,172","$1,260,586,550","$3,349,425,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,"$484,349,393","$383,142,197","$1,020,995,209","$196,171,422","$5,595,768,408","$4,211,392,823","$11,155,958,223","$1,784,657,492","$1,675,517,732","$1,298,463,743","$3,452,608,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,"$511,351,773","$405,639,151","$1,084,477,692","$209,295,944","$6,388,423,103","$4,820,768,196","$12,787,619,284","$2,060,177,387","$1,724,716,673","$1,340,082,697","$3,570,692,843",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,"$539,077,596","$428,762,574","$1,149,797,993","$222,817,777","$7,211,248,030","$5,455,507,777","$14,490,083,275","$2,350,029,420","$1,774,152,151","$1,381,903,408","$3,689,353,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,"$567,526,861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,"$596,699,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,24284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,40593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,37698.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,34804.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,31910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,29015.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,26121.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,23227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,20332.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,17438.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,14544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,14678.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,14813.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,14948.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,15083.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,15218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
