year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2020,287355.7150595974,210911.81375465565,551978.9537023989,82898.25969539939,115195.66170470558,87119.97161540689,228428.24320387281,38251.05614354474,376193.34900387685,267248.6987390896,699659.9710645473,94760.5558030148,6928.873692570041,5359.890435819044,14161.648264528218,2624.610318245723,265356.49080910167,193089.63636533267,506009.3504425904,73736.76817368052,1483435.8991212668,965975.4817570411,2566380.066372922,274829.36171626626,971911.3176059204,635691.6845526429,1671593.4080124754,182719.61900094745,79920.92234703871,61300.902485505605,161390.69282344173,28587.550781110665,49786.593742126985,38382.84708001567,101492.43834176556,18352.273987409153,132976.19409673195,100136.12475257379,262542.5768448325,43232.487041858956
2021,294887.5561313178,217085.50324350147,569594.5007703207,86120.50513740716,118631.24063876504,89985.78033229266,236470.18191658362,39855.74927007069,385135.83453302324,274417.9321702349,720658.3919799788,98266.43546093126,7156.181413813494,5553.929414387446,14701.063766941636,2743.7875756828735,272110.24757808534,198595.46634745167,521308.5155917351,76559.57906219212,1512334.1753820865,987952.0298761113,2628461.986588548,284263.7182955295,990966.3343033104,650225.9406967795,1712939.153734999,189003.61524847994,82459.55684484415,63446.64847351674,167363.13087343355,29847.969677831174,51413.10949855209,39762.256730339344,105300.2050975681,19177.96456141196,136842.826590442,103357.62838363159,271504.09790797025,45019.69473638888
2022,302419.3972030382,223259.1927323473,587210.0478382424,89342.75057941495,122066.8195728245,92851.58904917844,244512.12062929446,41460.44239659665,394078.3200621696,281587.1656013802,741656.8128954102,101772.3151188477,7383.489135056947,5747.968392955849,15240.479269355052,2862.9648331200237,278864.004347069,204101.29632957064,536607.6807408797,79382.38995070371,1541232.451642906,1009928.5779951817,2690543.9068041737,293698.0748747927,1010021.3510007003,664760.1968409162,1754284.8994575227,195287.61149601243,84998.19134264959,65592.39446152787,173335.56892342537,31108.388574551682,53039.62525497719,41141.66638066301,109107.97185337066,20003.655135414767,140709.45908415207,106579.13201468938,280465.618971108,46806.90243091882
2023,309951.2382747586,229432.8822211931,604825.5949061642,92564.99602142272,125502.39850688397,95717.39776606421,252554.05934200526,43065.13552312261,403020.80559131596,288756.39903252554,762655.2338108418,105278.19477676417,7610.7968563004,5942.007371524251,15779.89477176847,2982.1420905571745,285617.76111605274,209607.12631168964,551906.8458900244,82205.20083921532,1570130.7279037258,1031905.1261142519,2752625.8270197995,303132.4314540559,1029076.3676980903,679294.4529850528,1795630.6451800466,201571.60774354488,87536.82584045503,67738.140449539,179308.00697341718,32368.807471272186,54666.141011402295,42521.07603098668,112915.7386091732,20829.345709417576,144576.09157786213,109800.63564574717,289427.1400342457,48594.110125448744
2024,317483.07934647903,235606.57171003893,622441.141974086,95787.2414634305,128937.97744094343,98583.20648294999,260595.9980547161,44669.82864964857,411963.2911204623,295925.63246367086,783653.6547262733,108784.07443468063,7838.104577543852,6136.0463500926535,16319.310274181888,3101.3193479943247,292371.5178850364,215112.95629380865,567206.011039169,85028.01172772692,1599029.0041645453,1053881.6742333223,2814707.7472354253,312566.7880333191,1048131.3843954802,693828.7091291895,1836976.3909025702,207855.60399107737,90075.46033826047,69883.88643755014,185280.445023409,33629.2263679927,56292.6567678274,43900.485681310354,116723.50536497576,21655.036283420384,148442.7240715722,113022.13927680497,298388.6610973834,50381.31781997868
2025,325014.92041819944,241780.26119888475,640056.6890420077,99009.48690543827,132373.5563750029,101449.01519983576,268637.9367674269,46274.52177617452,420905.7766496087,303094.8658948162,804652.0756417047,112289.95409259708,8065.412298787305,6330.085328661055,16858.725776595304,3220.496605431475,299125.2746540201,220618.78627592762,582505.1761883138,87850.82261623851,1627927.280425365,1075858.2223523925,2876789.667451051,322001.14461258234,1067186.4010928702,708362.9652733261,1878322.1366250939,214139.60023860986,92614.09483606591,72029.63242556127,191252.88307340082,34889.6452647132,57919.1725242525,45279.89533163402,120531.2721207783,22480.72685742319,152309.35656528224,116243.64290786277,307350.18216052116,52168.525514508605
2026,333092.36480660486,248424.76821970224,657741.55370062,102515.11848007447,136095.4268593373,104560.43664300341,277134.0794313434,48030.44128822633,430387.11403085326,310744.20173165284,824860.32515638,116084.2429283013,8311.445745115776,6540.783870670433,17413.200329473882,3351.1783231039303,306344.0437001841,226530.21470235882,598382.5196304473,90917.832283551,1658460.7398703971,1099209.337490146,2940999.969877711,332155.38686967496,1087374.0041210288,723836.1269842677,1920231.2443076624,220906.13525268255,95356.02888978427,74354.95603475792,197500.2836619147,36269.117243798224,59668.37935435358,46770.95282914717,124530.70241311126,23384.73623930299,156513.0111267638,119747.93799380778,317037.7607376075,54124.23086200025
2027,341169.8091950103,255069.2752405197,675426.4183592323,106020.75005471066,139817.29734367176,107671.85808617107,285630.22209526,49786.36080027814,439868.45141209784,318393.5375684895,845068.5746710552,119878.53176400554,8557.4791914442485,6751.482412679811,17967.674882352465,3481.860040776385,313562.8127463481,232441.64312879005,614259.8630725809,93984.84195086348,1688994.1993154292,1122560.4526278996,3005210.272304371,342309.62912676757,1107561.6071491875,739309.2886952092,1962140.3519902308,227672.67026675525,98097.96294350261,76680.27964395458,203747.68425042857,37648.589222883245,61417.58618445466,48262.010326660326,128530.13270544421,24288.745621182792,160716.66568824538,123252.2330797528,326725.3393146939,56079.9362094919
2028,349247.25358341576,261713.78226133718,693111.2830178445,109526.38162934687,143539.16782800618,110783.2795293387,294126.3647591765,51542.280312329945,449349.7887933425,326042.8734053261,865276.8241857303,123672.82059970977,8803.51263777272,6962.180954689188,18522.149435231044,3612.5417584488405,320781.58179251204,238353.07155522125,630137.2065147144,97051.85161817598,1719527.6587604615,1145911.5677656534,3069420.5747310305,352463.8713838602,1127749.2101773461,754782.4504061508,2004049.4596727993,234439.20528082797,100839.89699722097,79005.60325315125,209995.08483894248,39028.06120196827,63166.79301455573,49753.067824173486,132529.56299777716,25192.755003062593,164920.32024972694,126756.5281656978,336412.9178917802,58035.64155698354
2029,357324.6979718212,268358.28928215464,710796.1476764568,113032.01320398306,147261.03831234062,113894.70097250635,302622.5074230931,53298.19982438176,458831.12617458706,333692.20924216276,885485.0737004055,127467.10943541401,9049.546084101192,7172.879496698566,19076.623988109626,3743.223476121296,328000.35083867604,244264.49998165248,646014.549956848,100118.86128548847,1750061.1182054935,1169262.682903407,3133630.8771576905,362618.1136409528,1147936.8132055048,770255.6121170922,2045958.5673553678,241205.74029490066,103581.83105093933,81330.9268623479,216242.48542745635,40407.53318105329,64915.99984465681,51244.12532168664,136528.9932901101,26096.764384942395,169123.97481120852,130260.82325164283,346100.4964688666,59991.346904475184
