year,2.5%_HFC125,3%_HFC125,3% 95th Pct._HFC125,5%_HFC125,2.5%_HFC134a,3%_HFC134a,3% 95th Pct._HFC134a,5%_HFC134a,2.5%_HFC143a,3%_HFC143a,3% 95th Pct._HFC143a,5%_HFC143a,2.5%_HFC152a,3%_HFC152a,3% 95th Pct._HFC152a,5%_HFC152a,2.5%_HFC227ea,3%_HFC227ea,3% 95th Pct._HFC227ea,5%_HFC227ea,2.5%_HFC23,3%_HFC23,3% 95th Pct._HFC23,5%_HFC23,2.5%_HFC236fa,3%_HFC236fa,3% 95th Pct._HFC236fa,5%_HFC236fa,2.5%_HFC245fa,3%_HFC245fa,3% 95th Pct._HFC245fa,5%_HFC245fa,2.5%_HFC32,3%_HFC32,3% 95th Pct._HFC32,5%_HFC32,2.5%_HFC4310mee,3%_HFC4310mee,3% 95th Pct._HFC4310mee,5%_HFC4310mee
2020,34891.37889602965,26602.816977936534,94383.72423855311,11623.906214809575,14131.728678168289,11108.046374909947,38735.94804328787,5418.856618498865,45181.60385719314,33370.81040079134,119312.9981410263,13189.18271427321,849.7569235687655,684.8209923715025,2302.236651849491,373.62935543964875,32123.35251550602,24286.62139871782,86402.12362948878,10317.571045520375,177334.57009576907,119577.8642976805,448815.3227895155,37858.55918765005,116287.04455591337,78812.09386464313,291545.3366049672,25223.899884935443,9814.047657932446,7833.5835053079445,26832.83688886028,4066.495262466664,6104.089717469513,4901.210485858056,16647.85875666981,2612.3996883300338,16296.841947873347,12751.693066451708,44588.786903505825,6115.461819639987
2021,35810.32293187037,27382.408744341777,97542.81699128042,12076.16751618642,14568.284908874473,11483.290263154047,40265.161076178236,5650.436215670912,46245.83342491434,34257.3887516139,122939.17503034713,13674.395078271915,879.895257558244,711.237140749565,2411.3819971974094,391.33747473233217,32940.84034061793,24977.220545299762,89188.8010123558,10711.909786451468,180791.02396069668,122290.70011382837,460023.25121630594,39153.1627785447,118562.96787857477,80605.69773114659,298862.1355356153,26087.468848995602,10146.41161758048,8122.338988975261,28028.525777424766,4252.367734464461,6318.653066710926,5088.233466926093,17421.583733120176,2735.0422342588154,16784.422631327187,13170.495868469232,46317.37525239505,6371.85509392437
2022,36729.26696771108,28162.00051074702,100701.9097440077,12528.428817563265,15004.841139580658,11858.534151398148,41794.37410906861,5882.015812842958,47310.06299263554,35143.96710243646,126565.35191966798,14159.607442270619,910.0335915477225,737.6532891276275,2520.5273425453274,409.0455940250156,33758.328165729836,25667.819691881705,91975.47839522283,11106.24852738256,184247.47782562426,125003.53592997623,471231.1796430964,40447.76636943935,120838.89120123617,82399.30159765006,306178.9344662634,26951.037813055766,10478.77557722851,8411.094472642577,29224.21466598925,4438.240206462258,6533.216415952339,5275.256447994129,18195.308709570538,2857.684780187597,17272.003314781025,13589.298670486756,48045.96360128428,6628.248368208752
2023,37648.211003551805,28941.592277152264,103861.002496735,12980.69011894011,15441.397370286844,12233.77803964225,43323.587141958975,6113.595410015006,48374.292560356735,36030.545453259016,130191.52880898882,14644.819806269321,940.1719255372011,764.06943750569,2629.672687893246,426.75371331769895,34575.81599084175,26358.418838463644,94762.15577808984,11500.587268313651,187703.93169055186,127716.37174612412,482439.1080698869,41742.36996033401,123114.81452389756,84192.90546415352,313495.7333969115,27814.606777115925,10811.139536876544,8699.849956309894,30419.903554553734,4624.112678460055,6747.779765193753,5462.279429062166,18969.033686020903,2980.327326116378,17759.583998234863,14008.10147250428,49774.55195017352,6884.641642493135
2024,38567.15503939252,29721.184043557507,107020.09524946229,13432.951420316957,15877.953600993029,12609.02192788635,44852.80017484935,6345.175007187052,49438.52212807794,36917.12380408157,133817.70569830967,15130.032170268025,970.3102595266796,790.4855858837525,2738.818033241164,444.4618326103824,35393.30381595366,27049.017985045586,97548.83316095687,11894.926009244744,191160.38555547944,130429.20756227199,493647.0364966774,43036.97355122866,125390.73784655896,85986.50933065699,320812.5323275596,28678.17574117609,11143.503496524576,8988.60543997721,31615.592443118217,4809.985150457852,6962.343114435165,5649.302410130203,19742.758662471264,3102.9698720451597,18247.164681688704,14426.904274521805,51503.14029906275,7141.0349167775175
2025,39486.099075233236,30500.77580996275,110179.18800218959,13885.2127216938,16314.509831699213,12984.26581613045,46382.013207739714,6576.754604359099,50502.75169579913,37803.70215490413,137443.8825876305,15615.244534266729,1000.4485935161581,816.901734261815,2847.9633785890824,462.1699519030658,36210.79164106557,27739.61713162753,100335.5105438239,12289.264750175837,194616.83942040705,133142.04337841985,504854.96492346784,44331.57714212331,127666.66116922036,87780.11319716045,328129.33125820773,29541.744705236248,11475.86745617261,9277.360923644526,32811.2813316827,4995.857622455649,7176.906463676579,5836.325391198239,20516.48363892163,3225.6124179739413,18734.745365142542,14845.70707653933,53231.728647951975,7397.4281910619
2026,40452.155898043915,31320.991222106906,113399.11909919494,14362.040240255947,16775.391360810656,13380.2841169397,47976.427590440435,6821.109941129909,51614.11536419126,38732.28100234058,140986.09027437493,16125.737249984482,1032.0704903837118,844.6315699736024,2956.645848018016,480.77881728160895,37068.45981466197,28465.252147145504,103197.29262049735,12704.776742886406,198230.3295715921,135985.56515790266,516343.4630029157,45693.874093310056,130049.55061587853,89661.56401235874,335482.66499977757,30449.921938486143,11825.035289082143,9580.931240554171,34006.839840499015,5191.6072986671215,7401.2995245470465,6032.340822254692,21282.891104265465,3354.647431167299,19251.94279762025,15289.222450520694,55020.03123828879,7668.443112476156
2027,41418.2127208546,32141.206634251062,116619.0501962003,14838.867758818093,17236.2728899221,13776.30241774895,49570.84197314115,7065.465277900719,52725.47903258338,39660.85984977703,144528.2979611194,16636.229965702238,1063.6923872512652,872.3614056853899,3065.3283174469493,499.3876826601521,37926.12798825836,29190.887162663483,106059.07469717081,13120.288735596976,201843.81972277715,138829.08693738547,527831.9610823636,47056.17104449681,132432.44006253668,91543.01482755702,342835.99874134746,31358.09917173604,12174.203121991677,9884.501557463816,35202.39834931533,5387.356974878595,7625.692585417515,6228.356253311144,22049.298569609302,3483.6824443606565,19769.140230097953,15732.73782450206,56808.33382862562,7939.458033890411
2028,42384.26954366528,32961.422046395215,119838.98129320565,15315.695277380239,17697.154419033544,14172.320718558201,51165.25635584187,7309.820614671528,53836.84270097551,40589.438697213474,148070.5056478638,17146.722681419993,1095.314284118819,900.0912413971772,3174.0107868758823,517.9965480386953,38783.79616185476,29916.522178181458,108920.85677384427,13535.800728307544,205457.3098739622,141672.60871686827,539320.4591618115,48418.46799568356,134815.32950919485,93424.46564275531,350189.3324829173,32266.276404985936,12523.370954901213,10188.071874373461,36397.95685813165,5583.106651090067,7850.085646287983,6424.3716843675975,22815.706034953135,3612.7174575540143,20286.33766257566,16176.253198483426,58596.63641896244,8210.472955304665
2029,43350.326366475965,33781.63745853937,123058.91239021102,15792.522795942385,18158.035948144985,14568.339019367451,52759.67073854258,7554.175951442338,54948.20636936763,41518.01754464993,151612.71333460827,17657.215397137745,1126.9361809863724,927.8210771089647,3282.693256304816,536.6054134172384,39641.46433545116,30642.157193699437,111782.63885051773,13951.312721018114,209070.80002514724,144516.13049635108,550808.9572412594,49780.76494687032,137198.21895585302,95305.9164579536,357542.6662244872,33174.453638235835,12872.538787810747,10491.642191283107,37593.51536694796,5778.856327301541,8074.4787071584515,6620.38711542405,23582.11350029697,3741.752470747372,20803.535095053365,16619.768572464793,60384.93900929926,8481.487876718922
